"","ID","ecs","tcr","rcp","pulse","cool","term","start","theta","alpha","delta","prob"
"1",1,27,25,"RCP3PD",80,10,2300,2025,18,0.00898,0.04,0.03
"2",2,18,15,"RCP6",100,22,2400,2100,13,0.01437,0.04,0.08
"3",3,28,26,"RCP3PD",60,1,2300,2050,11,0.0246,0.05,0.08
"4",4,49,32,"RCP85",70,3,2400,2025,11,0.02003,0.07,0.04
"5",5,37,24,"RCP45",60,19,2600,2050,19,0.00798,0,0.03
"6",6,44,13,"RCP3PD",70,22,2300,2100,18,0.0066,0.01,0.06
"7",7,22,19,"RCP3PD",100,21,2400,2100,24,0.01012,0.03,0.02
"8",8,61,16,"RCP6",80,30,2500,2075,11,0.00588,0.04,0.1
"9",9,87,12,"RCP45",40,38,2400,2025,6,0.0122,0.05,0.08
"10",10,31,38,"RCP6",20,39,2500,2075,40,0.00355,0.07,0
"11",11,34,33,"RCP45",50,4,2500,2075,8,0.00312,0.03,0.03
"12",12,18,16,"RCP6",80,6,2400,2100,13,0.0192,0,0
"13",13,39,16,"RCP45",90,19,2500,2075,25,0.00195,0.02,0.1
"14",14,18,21,"RCP6",60,25,2300,2050,22,0.00756,0.02,0.01
"15",15,17,27,"RCP3PD",10,6,2400,2075,12,0.00392,0.07,0.02
"16",16,24,16,"RCP85",90,32,2400,2050,11,0.00501,0.06,0.02
"17",17,57,18,"RCP45",20,12,2300,2075,24,0.0186,0.01,0.06
"18",18,23,15,"RCP45",40,19,2500,2025,12,0.03855,0.01,0.02
"19",19,50,11,"RCP3PD",20,34,2600,2050,15,0.00693,0,0.09
"20",20,28,14,"RCP45",10,31,2400,2100,22,0.00523,0.07,0.05
"21",21,65,23,"RCP3PD",80,37,2500,2050,5,0.01003,0.05,0
"22",22,41,16,"RCP3PD",30,10,2400,2075,10,0.0109,0.02,0.07
"23",23,18,13,"RCP6",100,21,2400,2100,10,0.00375,0.05,0.02
"24",24,100,11,"RCP85",50,34,2400,2075,20,0.00289,0.04,0
"25",25,26,12,"RCP3PD",100,27,2400,2050,22,0.0041,0.04,0.1
"26",26,33,32,"RCP6",50,39,2400,2050,12,0.00691,0.04,0.1
"27",27,28,13,"RCP3PD",90,5,2600,2025,12,0.0094,0,0.09
